year,ocean_anomaly_C,ocean_anomaly_spatial_std_C,ocean_n_locations
1918,-0.402414128844486,0.44814270625428804,10988
1919,-0.43957524680618826,0.3925050160857692,10988
1920,-0.4352042412664961,0.39844622765521626,10988
1921,-0.4096625628992496,0.3843518147016948,10988
1922,-0.46051432614918164,0.3711971509031914,10988
1923,-0.45828628308675246,0.3518683836953268,10988
1924,-0.46187409182823186,0.4662017281792276,10988
1925,-0.4241681060138212,0.40347587646178357,10988
1926,-0.33228679380963727,0.45681426096741795,10988
1927,-0.39242327971848034,0.3897195059613278,10988
1928,-0.43438399280159734,0.3815506592558136,10988
1929,-0.4835926582848577,0.3908009413922504,10988
1930,-0.3579717984607079,0.4352933247226076,10988
1931,-0.3244197258753629,0.4382813087748058,10988
1932,-0.40417592088899257,0.4302116141998186,10988
1933,-0.4448655528590325,0.4748718521402882,10988
1934,-0.39020656599180664,0.43290903428152644,10988
1935,-0.3947088726804906,0.3867860537658535,10988
1936,-0.35615309984314336,0.4692644576887972,10988
1937,-0.2658473800864117,0.40125795601524394,10988
1938,-0.3383179868277318,0.4605204063646204,10988
1939,-0.2687009502851331,0.4096308032502198,10988
1940,-0.08824128802300434,0.5627854942038775,10988
1941,0.041836856827865636,0.6257156990734242,10988
1942,-0.14021009123208036,0.43735382799394285,10988
1943,-0.1620272151461268,0.48272059407828277,10988
1944,0.0031374078950132884,0.4416609346545494,10988
1945,-0.015818788472049334,0.4820859143878058,10988
1946,-0.2718344039238346,0.41879818189079865,10988
1947,-0.3048405837924918,0.4115975485856011,10988
1948,-0.3455943699508076,0.37457458350882344,10988
1949,-0.3115167600365398,0.44461199130364765,10988
1950,-0.3169920187483658,0.4921093815452857,10988
1951,-0.23569142246897246,0.4321586353265985,10988
1952,-0.17134742080923332,0.3949631635959563,10988
1953,-0.17455526258483187,0.3957327743897238,10988
1954,-0.33228020877903813,0.41155800903404255,10988
1955,-0.3571628659606188,0.48912858571341655,10988
1956,-0.3138894702605365,0.46021599146873166,10988
1957,-0.12768618988326122,0.40946437458925855,10988
1958,-0.11288784772775562,0.4412402332577137,10988
1959,-0.16788906688862204,0.36906717931810534,10988
1960,-0.16944065448301424,0.357805458761752,10988
1961,-0.1485874705891573,0.34931916449583517,10988
1962,-0.16642798219319344,0.3828226170999638,10988
1963,-0.1528521758292117,0.4170763923134838,10988
1964,-0.3068801824022222,0.4090576352421046,10988
1965,-0.26822019824450505,0.40330384021499116,10988
1966,-0.21573484224559736,0.3744232336886331,10988
1967,-0.2310959111286713,0.39880421052354664,10988
1968,-0.2181006163327353,0.38350529922089294,10988
1969,-0.05737712205461549,0.3698723916471319,10988
1970,-0.16098816453305068,0.3063000171097057,10988
1971,-0.2881001836857296,0.44250155906334987,10988
1972,-0.10733241428784951,0.38297619028771257,10988
1973,-0.08443987214267103,0.36252139019086616,10988
1974,-0.23699270745782752,0.4110219343100699,10988
1975,-0.24676146330267593,0.41839665136620885,10988
1976,-0.19919589936063156,0.2998042069129647,10988
1977,-0.04007071724038427,0.2833310581538128,10988
1978,-0.10046965526372062,0.2586312233245276,10988
1979,0.021733762476561835,0.2651292288032646,10988
1980,0.036023326360457915,0.2986169573346319,10988
1981,-0.0001411618961450118,0.27291735739428014,10988
1982,-0.000378407588731008,0.3484231604996338,10988
1983,0.07633662046692234,0.45561197007240295,10988
1984,-0.018721715021645675,0.3144025764344578,10988
1985,-0.05928509177121506,0.3068250507750911,10988
1986,-0.026541101937565603,0.29195727015996814,10988
1987,0.11887405789098901,0.42597839263731613,10988
1988,0.07824474009461015,0.3615467128788551,10988
1989,0.03834290788406018,0.2929999181774423,10988
1990,0.13674232143610468,0.254769975570933,10988
1991,0.10236517297045168,0.30874235682638423,10988
1992,0.022665507350145005,0.3795188257161918,10988
1993,0.02888370847677412,0.3162303469539421,10988
1994,0.050320249325842135,0.3007613944116262,10988
1995,0.09366504863867048,0.2764162615675726,10988
1996,0.04807967593854383,0.3406301756556136,10988
1997,0.1963114255983539,0.461743592381503,10988
1998,0.24473888554775014,0.4589138304346041,10988
1999,0.04354764118225779,0.47472530797220347,10988
2000,0.07155460052496261,0.3712273279817804,10988
2001,0.18527943210329503,0.3621599085238521,10988
2002,0.21946573091875254,0.3308928635531069,10988
2003,0.24653452713117255,0.34641956564033816,10988
2004,0.23881403006289537,0.3338558352779952,10988
2005,0.23719263256415474,0.3540605647638983,10988
2006,0.2384668257262579,0.3204485999602692,10988
2007,0.16520889303031058,0.4025115485062398,10988
2008,0.15019844297378077,0.424381110471012,10988
2009,0.27445890784904475,0.3234756827148822,10988
2010,0.28436888347917677,0.5011389322922353,10988
2011,0.1784824333062752,0.5269493137585333,10988
2012,0.24499665599070466,0.440319487977083,10988
2013,0.26699399138005653,0.3673614707503093,10988
2014,0.3585730313249466,0.4364357115922069,10988
2015,0.4773055481545945,0.5201297601678488,10988
2016,0.5167701465593718,0.4564535680921823,10988
2017,0.4565157718203624,0.38603857848796563,10988
2018,0.4143954611607587,0.4416511039626935,10988
2019,0.4895274591120364,0.43197712765949464,10988
2020,0.4730765036694941,0.46940825578401446,10988
2021,0.3733924886864954,0.49896914047464697,10988
2022,0.4159301743768077,0.5833402367108722,10988
2023,0.6461989344080273,0.5154060966168497,10988
2024,0.7005116088662514,0.5306981353907827,10988
2025,0.6140165653765404,0.4685749041513107,10988
