year,land_anomaly_C,land_anomaly_err_C
1942,-0.859647,0.15367876824824547
1943,-0.841908,0.15367876824824547
1944,-0.67965,0.15367876824824547
1945,-0.91854,0.15367876824824547
1946,-0.942475,0.15367876824824547
1947,-0.785404,0.15367876824824547
1948,-0.893427,0.15367876824824547
1949,-0.955344,0.15367876824824547
1950,-1.136038,0.15367876824824547
1951,-1.003851,0.15367876824824547
1952,-0.928719,0.15367876824824547
1953,-0.717807,0.15367876824824547
1954,-0.965091,0.15367876824824547
1955,-1.038763,0.15367876824824547
1956,-1.232577,0.15367876824824547
1957,-0.954807,0.15367876824824547
1958,-0.88246,0.15367876824824547
1959,-0.813274,0.15367876824824547
1960,-1.024843,0.15367876824824547
1961,-0.857033,0.15367876824824547
1962,-0.886274,0.15367876824824547
1963,-0.879643,0.15367876824824547
1964,-1.275357,0.15367876824824547
1965,-1.080257,0.15367876824824547
1966,-1.07996,0.15367876824824547
1967,-0.901924,0.15367876824824547
1968,-1.132288,0.15367876824824547
1969,-1.014545,0.15367876824824547
1970,-0.918656,0.15367876824824547
1971,-0.978135,0.15367876824824547
1972,-1.00342,0.15367876824824547
1973,-0.634484,0.15367876824824547
1974,-1.060353,0.15367876824824547
1975,-0.849915,0.15367876824824547
1976,-1.136753,0.15367876824824547
1977,-0.718485,0.15367876824824547
1978,-0.887532,0.15367876824824547
1979,-0.885282,0.15367876824824547
1980,-0.573187,0.15367876824824547
1981,-0.361255,0.15367876824824547
1982,-0.910117,0.15367876824824547
1983,-0.530656,0.15367876824824547
1984,-0.791292,0.15367876824824547
1985,-0.825652,0.15367876824824547
1986,-0.700293,0.15367876824824547
1987,-0.667889,0.15367876824824547
1988,-0.378677,0.15367876824824547
1989,-0.629676,0.15367876824824547
1990,-0.311416,0.15367876824824547
1991,-0.332349,0.15367876824824547
1992,-0.715067,0.15367876824824547
1993,-0.64749,0.15367876824824547
1994,-0.535995,0.15367876824824547
1995,-0.153674,0.15367876824824547
1996,-0.501508,0.15367876824824547
1997,-0.404479,0.15367876824824547
1998,-0.071576,0.15367876824824547
1999,-0.306933,0.15367876824824547
2000,-0.349796,0.15367876824824547
2001,-0.169829,0.15367876824824547
2002,-0.010833,0.15367876824824547
2003,-0.040626,0.15367876824824547
2004,-0.217849,0.15367876824824547
2005,0.207105,0.15367876824824547
2006,0.087371,0.15367876824824547
2007,0.23707,0.15367876824824547
2008,-0.054709,0.15367876824824547
2009,0.038989,0.15367876824824547
2010,0.239255,0.15367876824824547
2011,0.110506,0.15367876824824547
2012,0.096781,0.15367876824824547
2013,0.096825,0.15367876824824547
2014,0.136892,0.15367876824824547
2015,0.383949,0.15367876824824547
2016,0.681902,0.15367876824824547
2017,0.518882,0.15367876824824547
2018,0.392451,0.15367876824824547
2019,0.570966,0.15367876824824547
2020,0.713795,0.15367876824824547
2021,0.441121,0.15367876824824547
2022,0.449049,0.15367876824824547
2023,0.848302,0.15367876824824547
2024,1.015505,0.15367876824824547
2025,0.856504,0.15367876824824547
2026,0.671571,0.15367876824824547
