year,land_anomaly_C,land_anomaly_err_C,ocean_anomaly_C,ocean_anomaly_spatial_std_C,ocean_n_locations,global_anomaly_C,global_anomaly_err_C
1958,-0.88246,0.15367876824824547,-0.11288784772775562,0.4412402332577137,10988,-0.33683334403897874,0.3160195698887294
1959,-0.813274,0.15367876824824547,-0.16788906688862204,0.36906717931810534,10988,-0.35569608242403306,0.2654626095067844
1960,-1.024843,0.15367876824824547,-0.16944065448301424,0.357805458761752,10988,-0.41836273702845705,0.2575956765036186
1961,-0.857033,0.15367876824824547,-0.1485874705891573,0.34931916449583517,10988,-0.35474511964771255,0.25167242679603585
1962,-0.886274,0.15367876824824547,-0.16642798219319344,0.3828226170999638,10988,-0.37590317337497414,0.2750807374970598
1963,-0.879643,0.15367876824824547,-0.1528521758292117,0.4170763923134838,10988,-0.36434830566291104,0.29906964204943975
1964,-1.275357,0.15367876824824547,-0.3068801824022222,0.4090576352421046,10988,-0.5887069363231756,0.2934494952984002
1965,-1.080257,0.15367876824824547,-0.26822019824450505,0.40330384021499116,10988,-0.5045229075553541,0.28941837217991734
1966,-1.07996,0.15367876824824547,-0.21573484224559736,0.3744232336886331,10988,-0.4672243631521285,0.26920653928823024
1967,-0.901924,0.15367876824824547,-0.2310959111286713,0.39880421052354664,10988,-0.42630688499022795,0.28626687429495007
1968,-1.132288,0.15367876824824547,-0.2181006163327353,0.38350529922089294,10988,-0.48412914497990933,0.2755583312352023
1969,-1.014545,0.15367876824824547,-0.05737712205461549,0.3698723916471319,10988,-0.33591297453672236,0.2660253632200247
1970,-0.918656,0.15367876824824547,-0.16098816453305068,0.3063000171097057,10988,-0.3814695046539329,0.221723489748636
1971,-0.978135,0.15367876824824547,-0.2881001836857296,0.44250155906334987,10988,-0.4889003152331822,0.316904875618521
1972,-1.00342,0.15367876824824547,-0.10733241428784951,0.38297619028771257,10988,-0.3680939017300853,0.2751881729400165
1973,-0.634484,0.15367876824824547,-0.08443987214267103,0.36252139019086616,10988,-0.24450271334915374,0.2608891449556773
1974,-1.060353,0.15367876824824547,-0.23699270745782752,0.4110219343100699,10988,-0.47659055258759975,0.29482599246223723
1975,-0.849915,0.15367876824824547,-0.24676146330267593,0.41839665136620885,10988,-0.42227914248159726,0.2999952140830079
1976,-1.136753,0.15367876824824547,-0.19919589936063156,0.2998042069129647,10988,-0.47202501564668775,0.21721459766781762
1977,-0.718485,0.15367876824824547,-0.04007071724038427,0.2833310581538128,10988,-0.23748927352343244,0.20579939400204028
1978,-0.887532,0.15367876824824547,-0.10046965526372062,0.2586312233245276,10988,-0.3295047975819779,0.18874403903657014
1979,-0.885282,0.15367876824824547,0.021733762476561835,0.2651292288032646,10988,-0.24220782440411767,0.19322302121223317
1980,-0.573187,0.15367876824824547,0.036023326360457915,0.2986169573346319,10988,-0.14125687861043534,0.2163909402408535
1981,-0.361255,0.15367876824824547,-0.0001411618961450118,0.27291735739428014,10988,-0.1052252887843668,0.19859898873124757
1982,-0.910117,0.15367876824824547,-0.000378407588731008,0.3484231604996338,10988,-0.26511233798041023,0.25104729503881507
1983,-0.530656,0.15367876824824547,0.07633662046692234,0.45561197007240295,10988,-0.10029823208895206,0.32610977713617784
1984,-0.791292,0.15367876824824547,-0.018721715021645675,0.3144025764344578,10988,-0.24353966795034676,0.22735309366379067
1985,-0.825652,0.15367876824824547,-0.05928509177121506,0.3068250507750911,10988,-0.2822978620657915,0.22208810099007792
1986,-0.700293,0.15367876824824547,-0.026541101937565603,0.29195727015996814,10988,-0.222602904273734,0.2117734042198495
1987,-0.667889,0.15367876824824547,0.11887405789098901,0.42597839263731613,10988,-0.11007399195528875,0.30531165773191526
1988,-0.378677,0.15367876824824547,0.07824474009461015,0.3615467128788551,10988,-0.054719486272921385,0.2602083540357394
1989,-0.629676,0.15367876824824547,0.03834290788406018,0.2929999181774423,10988,-0.15605059431020132,0.2124960284689226
1990,-0.311416,0.15367876824824547,0.13674232143610468,0.254769975570933,10988,0.006328249898198218,0.18608549897017676
1991,-0.332349,0.15367876824824547,0.10236517297045168,0.30874235682638423,10988,-0.02413665136394974,0.2234197940174202
1992,-0.715067,0.15367876824824547,0.022665507350145005,0.3795188257161918,10988,-0.19201465228874717,0.2727697768895468
1993,-0.64749,0.15367876824824547,0.02888370847677412,0.3162303469539421,10988,-0.16794104068996715,0.22862380801704407
1994,-0.535995,0.15367876824824547,0.050320249325842135,0.3007613944116262,10988,-0.12029748822797792,0.21787874968917112
1995,-0.153674,0.15367876824824547,0.09366504863867048,0.2764162615675726,10988,0.02168938548481738,0.2010167759893486
1996,-0.501508,0.15367876824824547,0.04807967593854383,0.3406301756556136,10988,-0.11185033775957239,0.24561241185559726
1997,-0.404479,0.15367876824824547,0.1963114255983539,0.461743592381503,10988,0.02148141174923293,0.33041656429019284
1998,-0.071576,0.15367876824824547,0.24473888554775014,0.4589138304346041,10988,0.15269125385335489,0.32842883648469706
1999,-0.306933,0.15367876824824547,0.04354764118225779,0.47472530797220347,10988,-0.058442225401779214,0.33953819411622627
2000,-0.349796,0.15367876824824547,0.07155460052496261,0.3712273279817804,10988,-0.05105842422780149,0.26697239080553553
2001,-0.169829,0.15367876824824547,0.18527943210329503,0.3621599085238521,10988,0.08194287836123618,0.2606366515700703
2002,-0.010833,0.15367876824824547,0.21946573091875254,0.3308928635531069,10988,0.15244880022139556,0.23882736766848456
2003,-0.040626,0.15367876824824547,0.24653452713117255,0.34641956564033816,10988,0.16297081373600136,0.24964959492413402
2004,-0.217849,0.15367876824824547,0.23881403006289537,0.3338558352779952,10988,0.10592508831459284,0.2408912782339168
2005,0.207105,0.15367876824824547,0.23719263256415474,0.3540605647638983,10988,0.22843713148798572,0.25498128161848427
2006,0.087371,0.15367876824824547,0.2384668257262579,0.3204485999602692,10988,0.19449794043991686,0.23155751406973085
2007,0.23707,0.15367876824824547,0.16520889303031058,0.4025115485062398,10988,0.18612047515849023,0.2888633969019212
2008,-0.054709,0.15367876824824547,0.15019844297378077,0.424381110471012,10988,0.09057037706841058,0.30419144433466466
