year,tsi_wm2,tsi_unc_wm2
1926,1361.6923,0.15073816
1927,1361.8634,0.14806005
1928,1361.8317,0.16761181
1929,1361.6455,0.15118292
1930,1361.5674,0.10723844
1931,1361.4019,0.08987938
1932,1361.2981,0.08148669
1933,1361.2361,0.07707065
1934,1361.2887,0.07801466
1935,1361.5372,0.105986394
1936,1362.0519,0.1563447
1937,1362.2073,0.22261119
1938,1362.1183,0.21482153
1939,1361.9939,0.18243279
1940,1361.8455,0.1426275
1941,1361.7234,0.11492127
1942,1361.5128,0.09335396
1943,1361.3309,0.07878244
1944,1361.318,0.07112302
1945,1361.6187,0.095929965
1946,1361.9385,0.1891537
1947,1362.1898,0.25828946
1948,1362.3062,0.2166548
1949,1362.1644,0.22312863
1950,1361.8707,0.15244462
1951,1361.6533,0.14112008
1952,1361.4714,0.09162027
1953,1361.3473,0.07734975
1954,1361.2745,0.07292352
1955,1361.4337,0.094451375
1956,1361.9768,0.20870602
1957,1362.4329,0.26504332
1958,1362.4039,0.26776174
1959,1362.0961,0.2514818
1960,1361.9429,0.16837396
1961,1361.557,0.10069884
1962,1361.3755,0.0872524
1963,1361.3164,0.07825901
1964,1361.2968,0.06983354
1965,1361.3314,0.07247166
1966,1361.5267,0.096600704
1967,1361.7355,0.15104215
1968,1361.7905,0.15826546
1969,1361.8584,0.15583542
1970,1361.8505,0.16430135
1971,1361.5586,0.12000075
1972,1361.6414,0.11842346
1973,1361.4154,0.08935304
1974,1361.3394,0.08410065
1975,1361.2781,0.07462264
1976,1361.2561,0.066894084
1977,1361.4288,0.08117456
1978,1361.8116,0.1349819
1979,1362.1752,0.19021954
1980,1362.2012,0.19129094
1981,1362.2485,0.1973477
1982,1361.8069,0.18516752
1983,1361.8102,0.11576793
1984,1361.4021,0.099941395
1985,1361.2557,0.06809408
1986,1361.2617,0.06657171
1987,1361.3965,0.075655885
1988,1361.7025,0.12939228
1989,1362.2012,0.19932444
1990,1362.12,0.1757138
1991,1362.0125,0.19857724
1992,1361.8813,0.13897091
1993,1361.6144,0.10076272
1994,1361.3958,0.07954091
1995,1361.3113,0.07033226
1996,1361.2351,0.06471614
1997,1361.3572,0.072765164
1998,1361.7025,0.10517984
1999,1361.9731,0.13308059
2000,1362.2537,0.16496414
2001,1362.0814,0.16151069
2002,1362.1906,0.1662405
2003,1361.6907,0.11898811
2004,1361.4706,0.09586715
2005,1361.2625,0.08236826
2006,1361.2358,0.07027158
2007,1361.1686,0.06357399
2008,1361.1968,0.060677893
2009,1361.191,0.06050161
2010,1361.3396,0.0721065
2011,1361.6064,0.10243192
2012,1361.7682,0.10964167
2013,1361.813,0.11302397
2014,1361.8887,0.13919389
2015,1361.949,0.10910636
2016,1361.4648,0.082446665
2017,1361.2914,0.07168249
2018,1361.2625,0.06432351
2019,1361.2555,0.06372136
2020,1361.3228,0.06780612
2021,1361.4894,0.07941656
2022,1361.9811,0.11976272
2023,1362.4476,0.15744054
2024,1362.5648,0.1904635
2025,1362.4159,0.16051798
